pathway,NES,padj,size
Positive Regulation Of Lamellipodium Organization (GO:1902745),1.4976534772943502,0.06065348908305168,31
Superoxide Anion Generation (GO:0042554),1.4971989205059564,0.17573317885398865,19
Response To UV-A (GO:0070141),1.497134521954522,0.19536904990673065,13
Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455),1.4965914733311363,0.1521984487771988,5
Response To Cytokine (GO:0034097),1.496338529966513,0.0,125
Regulation Of Superoxide Anion Generation (GO:0032928),1.4946122383439657,0.20189805328845978,14
Gluconeogenesis (GO:0006094),1.4944995065842754,0.1360398828983307,32
Nucleoside Triphosphate Metabolic Process (GO:0009141),1.494343650250633,0.17759902775287628,10
Interleukin-27-Mediated Signaling Pathway (GO:0070106),1.4939092955911675,0.15942084789276123,5
"Retrograde Protein Transport, ER To Cytosol (GO:0030970)",1.4938258082041476,0.1814061999320984,17
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),1.4937203767512313,0.059027720242738724,78
Ribonucleoprotein Complex Biogenesis (GO:0022613),1.4936035449287592,0.0,118
Regulation Of Interleukin-12 Production (GO:0032655),1.4935060962857978,0.13414546847343445,50
Membrane Protein Proteolysis (GO:0033619),1.4934397804802866,0.03388391435146332,34
Endoplasmic Reticulum To Cytosol Transport (GO:1903513),1.4932561629419134,0.19536904990673065,15
Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070302),1.4929144601664657,0.21885742247104645,11
Positive Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001244),1.4915765700282255,0.15732303261756897,39
Negative Regulation Of Viral Process (GO:0048525),1.4911026718229186,0.07996252179145813,61
Cellular Response To Interferon-Beta (GO:0035458),1.4905342808526938,0.17830562591552734,22
"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",1.489575185220028,0.23019972443580627,12
Protein Insertion Into ER Membrane By Stop-Transfer Membrane-Anchor Sequence (GO:0045050),1.489311911980415,0.2063271552324295,9
Cellular Response To Interleukin-15 (GO:0071350),1.4888180319079494,0.20030149817466736,10
Interleukin-15-Mediated Signaling Pathway (GO:0035723),1.4888180319079494,0.20030149817466736,10
Regulation Of Viral Genome Replication (GO:0045069),1.4874774475514407,0.03315972164273262,67
"Positive Regulation Of Protein Localization To Chromosome, Telomeric Region (GO:1904816)",1.4868251804235184,0.18681468069553375,11
Zymogen Activation (GO:0031638),1.4868191703251943,0.11546067893505096,45
Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343),1.4867477927680068,0.20229479670524597,6
Multi-Pass Transmembrane Protein Insertion Into ER Membrane (GO:0160063),1.4867232214212016,0.15776218473911285,8
Cellular Response To Interleukin-9 (GO:0071355),1.4863737686798189,0.17830562591552734,6
Interleukin-9-Mediated Signaling Pathway (GO:0038113),1.4863737686798189,0.17830562591552734,6
