gene,score,logfoldchange,pval,pval_adj
CYBC1,44.97027587890625,0.4532122313976288,0.0,0.0
CBX3,44.90142822265625,0.8198118805885315,0.0,0.0
PEA15,44.88135528564453,0.5951410531997681,0.0,0.0
PRDX2,44.78714370727539,0.5855758190155029,0.0,0.0
CD79A,44.65389633178711,2.195647716522217,0.0,0.0
COX8A,44.62753677368164,0.7032487988471985,0.0,0.0
APOL6,44.622066497802734,0.4642793834209442,0.0,0.0
EML4,44.610130310058594,0.4117039442062378,0.0,0.0
UBB,44.506473541259766,0.5314481854438782,0.0,0.0
HNRNPA0,44.29036331176758,0.4641905128955841,0.0,0.0
HCLS1,44.27029037475586,0.48665058612823486,0.0,0.0
CKLF,44.192169189453125,0.6022517681121826,0.0,0.0
EIF2AK1,44.16067123413086,0.6056053042411804,0.0,0.0
TMEM147,44.14279556274414,0.7835166454315186,0.0,0.0
LCN2,44.1171989440918,1.5494880676269531,0.0,0.0
GSTP1,44.07803726196289,0.40340539813041687,0.0,0.0
TXNDC17,43.958065032958984,1.0619876384735107,0.0,0.0
FUCA1,43.95693588256836,0.6935267448425293,0.0,0.0
POLR2L,43.8674201965332,0.5015130043029785,0.0,0.0
SLC2A1,43.84587860107422,0.9848795533180237,0.0,0.0
DERL1,43.834922790527344,0.5349441170692444,0.0,0.0
TMEM50A,43.81734848022461,0.4589395523071289,0.0,0.0
PPP1CA,43.761985778808594,0.6270855665206909,0.0,0.0
EPSTI1,43.702510833740234,0.7305141091346741,0.0,0.0
TSTA3,43.70082473754883,0.9474242925643921,0.0,0.0
CTSS,43.6779670715332,0.39426085352897644,0.0,0.0
HNRNPF,43.6439323425293,0.44171833992004395,0.0,0.0
VOPP1,43.638206481933594,0.7094058394432068,0.0,0.0
NDUFA4,43.631683349609375,0.4852498173713684,0.0,0.0
HIGD2A,43.604007720947266,0.716238260269165,0.0,0.0
UQCRB,43.528385162353516,0.6697604656219482,0.0,0.0
HSP90AA1,43.525943756103516,0.48507267236709595,0.0,0.0
ETS1,43.47930145263672,0.501469612121582,0.0,0.0
SDF2L1,43.36184310913086,1.1248003244400024,0.0,0.0
APRT,43.31819152832031,0.6602113842964172,0.0,0.0
SDC1,43.18693923950195,0.6796050071716309,0.0,0.0
UBE2L6,43.161773681640625,0.6287063360214233,0.0,0.0
CD24,43.16029739379883,0.8555222153663635,0.0,0.0
C1R,43.10173797607422,0.5710310935974121,0.0,0.0
NDUFB10,43.0684928894043,0.6684259176254272,0.0,0.0
NDUFB9,43.04255294799805,0.5767141580581665,0.0,0.0
TUBB,43.0015869140625,0.8823690414428711,0.0,0.0
CMTM3,42.85635757446289,0.5565947890281677,0.0,0.0
FAM3C,42.777042388916016,0.5893500447273254,0.0,0.0
SELENOF,42.76203918457031,0.43538856506347656,0.0,0.0
MTDH,42.74722671508789,0.44383442401885986,0.0,0.0
GRINA,42.70939254760742,0.45052698254585266,0.0,0.0
UGDH,42.70206069946289,0.8516550660133362,0.0,0.0
ANAPC11,42.68488311767578,0.8172670602798462,0.0,0.0
UQCR10,42.673065185546875,0.6957483291625977,0.0,0.0
CANX,42.55634307861328,0.6379518508911133,0.0,0.0
RCN1,42.555423736572266,0.7972615957260132,0.0,0.0
MAN2B1,42.50534439086914,0.5977375507354736,0.0,0.0
MAF1,42.372093200683594,0.5053300261497498,0.0,0.0
CSDE1,42.32302474975586,0.5372906923294067,0.0,0.0
PPT1,42.31630325317383,0.5991230010986328,0.0,0.0
SERPINH1,42.23292541503906,0.5608310103416443,0.0,0.0
SLC25A39,42.21596908569336,0.510986328125,0.0,0.0
C1QA,42.160614013671875,0.5816383957862854,0.0,0.0
APOL2,42.128990173339844,0.48247164487838745,0.0,0.0
UBE2I,42.113677978515625,0.46817469596862793,0.0,0.0
TMEM106B,42.03868103027344,0.6457112431526184,0.0,0.0
PSMB5,41.89143371582031,0.7000303864479065,0.0,0.0
