pathway,NES,padj,size
Negative Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000480),1.4993456457069296,0.4237746000289917,7
Muscle Cell Fate Commitment (GO:0042693),1.4966044785435733,0.45756861567497253,9
Regulation Of Peptidyl-Lysine Acetylation (GO:2000756),1.4893638873493158,0.40574026107788086,10
Negative Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901533),1.4870277599373456,0.4347810447216034,6
Commissural Neuron Axon Guidance (GO:0071679),1.4863009671989038,0.476031094789505,8
Muscle Tissue Morphogenesis (GO:0060415),1.486221060214781,0.4053729176521301,17
Sympathetic Nervous System Development (GO:0048485),1.4854973430154734,0.4442782998085022,15
Regulation Of Positive Chemotaxis (GO:0050926),1.4838704074605484,0.4452603757381439,7
Axonemal Central Apparatus Assembly (GO:1904158),1.4828314879636593,0.43525075912475586,5
Positive Regulation Of Voltage-Gated Potassium Channel Activity (GO:1903818),1.4776315290164914,0.4608517289161682,10
Glucosamine-Containing Compound Metabolic Process (GO:1901071),1.476554881054571,0.4482634961605072,14
Collecting Duct Development (GO:0072044),1.4744501361358326,0.4436149597167969,7
In Utero Embryonic Development (GO:0001701),1.472477913517214,0.35389742255210876,27
Negative Regulation Of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031665),1.4717839108415762,0.45842620730400085,10
Positive Regulation Of Peptide Secretion (GO:0002793),1.4710686266350188,0.47893431782722473,8
Filopodium Assembly (GO:0046847),1.4708764108597479,0.4436149597167969,17
Establishment Of Chromosome Localization (GO:0051303),1.469077428643828,0.37122875452041626,14
Negative Regulation Of Meiotic Cell Cycle (GO:0051447),1.468513387015908,0.4608517289161682,5
Lysosomal Microautophagy (GO:0016237),1.4654266071923208,0.42848700284957886,11
Mesenchyme Development (GO:0060485),1.4625108262431932,0.4193548262119293,17
Determination Of Liver Left/Right Asymmetry (GO:0071910),1.4624862643714738,0.4922979176044464,5
Regulation Of Chaperone-Mediated Autophagy (GO:1904714),1.459659836412503,0.4905821979045868,7
Regulation Of cAMP-dependent Protein Kinase Activity (GO:2000479),1.4573730152354538,0.44280916452407837,13
Positive Regulation Of Protein Depolymerization (GO:1901881),1.4572750787368345,0.45256832242012024,10
Glandular Epithelial Cell Development (GO:0002068),1.4567426291871675,0.4482634961605072,6
Activation Of Transmembrane Receptor Protein Tyrosine Kinase Activity (GO:0007171),1.4559619068589953,0.4843078851699829,5
Learned Vocalization Behavior Or Vocal Learning (GO:0098598),1.4551335245807282,0.4053729176521301,8
Auditory Behavior (GO:0031223),1.4551335245807282,0.4053729176521301,8
Positive Regulation Of Mast Cell Activation (GO:0033005),1.454362553966015,0.5333067178726196,6
Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),1.451597368463185,0.27434080839157104,77
Regulation Of Collateral Sprouting (GO:0048670),1.4502893250305795,0.4905821979045868,7
Female Gonad Development (GO:0008585),1.4495788832411214,0.46315234899520874,5
