gene,score,logfoldchange,pval,pval_adj
RALYL,0.07741820067167282,1.8243123292922974,0.9382908635520697,1.0
SMOC1,0.07727624475955963,0.06896455585956573,0.9384037875104281,1.0
CEACAM7,0.07719972729682922,0.5418200492858887,0.9384646606069658,1.0
TF,0.07701078057289124,0.022242547944188118,0.9386149680193968,1.0
SPESP1,0.07694200426340103,0.16246791183948517,0.9386696798351059,1.0
ACTL7B,0.07691353559494019,0.4646827280521393,0.9386923279213197,1.0
HTR2A,0.07657725363969803,0.2636245787143707,0.9389598543668762,1.0
KLHL38,0.07647985219955444,0.004563054069876671,0.9390373419745476,1.0
SCN4A,0.07641402631998062,0.6612094640731812,0.9390897097843991,1.0
HAO2,0.07628552615642548,0.3684985041618347,0.9391919435197127,1.0
PRDM11,0.07627706974744797,0.16128847002983093,0.9391986694585064,1.0
SLC9A2,0.07623247802257538,-0.029525160789489746,0.9392341449469721,1.0
NMU,0.07602784782648087,0.12898337841033936,0.9393969458239573,1.0
DQX1,0.07592513412237167,0.22400209307670593,0.9394786600555264,1.0
ATP6AP1L,0.07590889185667038,0.19254423677921295,0.9394915804728655,1.0
HCN1,0.07574991136789322,1.4606560468673706,0.9396180637524846,1.0
FAM171B,0.0754520520567894,0.11075729876756668,0.9398550480243951,1.0
SYCE1L,0.07521328330039978,0.49182385206222534,0.9400450147093774,1.0
AKR1B1,0.0751977488398552,0.08238013833761215,0.9400573726736191,1.0
RPH3A,0.0751873329281807,0.2024834305047989,0.9400656634678463,1.0
IL10,0.07505957037210464,0.07639261335134506,0.9401673122614247,1.0
THRSP,0.07476906478404999,0.8477842211723328,0.940398458173134,1.0
CPLANE2,0.07457032799720764,0.13444365561008453,0.940556583892355,1.0
ACTA1,0.0744919553399086,0.48558732867240906,0.9406189400095297,1.0
BDKRB2,0.07401584833860397,0.27789148688316345,0.9409977776571992,1.0
PEX5L,0.07400204241275787,0.8984447717666626,0.9410087600184684,1.0
DGKK,0.07373932749032974,0.4843529462814331,0.9412178024842975,1.0
SLC10A2,0.07372529059648514,0.26440539956092834,0.941228972806501,1.0
KCTD19,0.07326491177082062,0.12007933855056763,0.9415953157055117,1.0
XKR5,0.07317029684782028,0.835345983505249,0.941670600892133,1.0
MYL4,0.07271786034107208,0.44126805663108826,0.9420306377441304,1.0
SLC9A5,0.07267539203166962,0.2114602029323578,0.942064432877998,1.0
TNFSF18,0.07253716886043549,0.3400072455406189,0.9421744242438718,1.0
KCNB2,0.07252325117588043,0.19156278669834137,0.942185501671607,1.0
PLEKHD1,0.07241519540548325,0.17784713208675385,0.9422714929314975,1.0
ZSCAN10,0.07240115851163864,1.2858755588531494,0.9422826643345371,1.0
TCERG1L,0.07229262590408325,0.49156656861305237,0.9423690318671334,1.0
OR2K2,0.07222786545753479,0.34940388798713684,0.9424205710763334,1.0
HEY1,0.07220234721899033,-0.03574681654572487,0.9424408801569959,1.0
CASR,0.0722011998295784,0.3392707109451294,0.9424417876514584,1.0
SLC6A9,0.0718655064702034,0.16370047628879547,0.9427089384889594,1.0
ZNF707,0.07176920771598816,0.11499612778425217,0.942785576953076,1.0
ZNF727,0.07171192020177841,0.06021225079894066,0.9428311722400378,1.0
THSD7B,0.07170814275741577,0.25751420855522156,0.9428341764659369,1.0
SCGB2B2,0.07164523005485535,0.18905597925186157,0.9428842470172812,1.0
NPFFR2,0.0716129019856453,1.3280043601989746,0.9429099708508085,1.0
ARPP21,0.07147803157567978,0.6885380744934082,0.943017310603822,1.0
ADRA2C,0.07144031673669815,0.12065907567739487,0.9430473221077166,1.0
CAMP,0.07089055329561234,0.2276701033115387,0.9434848608147057,1.0
JAG1,0.07086790353059769,0.04138115793466568,0.9435028872378017,1.0
CRP,0.07077593356370926,1.0783066749572754,0.943576088582972,1.0
CRYBA2,0.07077093422412872,1.0102680921554565,0.9435800631886802,1.0
CTRB2,0.07068497687578201,1.1034772396087646,0.9436484767007283,1.0
NKD2,0.07045631855726242,0.028171204030513763,0.9438304661760994,1.0
CABLES1,0.070396788418293,0.11575688421726227,0.9438778496439066,1.0
SLC47A2,0.06993746012449265,0.8949384689331055,0.94424343509748,1.0
GDF9,0.06976920366287231,0.28617024421691895,0.9443773598072158,1.0
C19orf57,0.06974282115697861,0.13671404123306274,0.9443983609969402,1.0
PROB1,0.06941864639520645,0.22483694553375244,0.9446563877056668,1.0
MIXL1,0.06911138445138931,0.2039261907339096,0.9449009613222362,1.0
MFSD2B,0.06902436167001724,0.07419697940349579,0.9449702278688988,1.0
APOC4,0.06891748309135437,0.33595895767211914,0.9450553014041726,1.0
CCNE2,0.06856323033571243,0.12108984589576721,0.945337288027928,1.0
SLTM,0.0683685839176178,0.04517487436532974,0.9454922286510591,1.0
BANF2,0.06835832446813583,1.811719298362732,0.945500398304828,1.0
SAGE1,0.06835321336984634,1.1689841747283936,0.9455044674831733,1.0
CALHM5,0.06827511638402939,0.03373943269252777,0.9455666321844534,1.0
FAM71F1,0.06821011751890182,0.5731797218322754,0.9456183737520312,1.0
APC2,0.06790139526128769,0.356176495552063,0.9458641258503475,1.0
MINAR1,0.06785082817077637,0.13620707392692566,0.9459043807297737,1.0
PGAP1,0.06765429675579071,0.0845392718911171,0.9460608314084505,1.0
HEATR1,0.0676126554608345,0.1099390983581543,0.9460939811892823,1.0
LEP,0.06755036860704422,1.812820315361023,0.9461435651716312,1.0
ADH4,0.06743939965963364,0.7405661344528198,0.9462319028084973,1.0
TMEM179,0.06740833818912506,0.6736054420471191,0.9462566324567909,1.0
BRSK2,0.06733833998441696,0.3299488127231598,0.9463123526135826,1.0
HOXA7,0.06703418493270874,0.045697979629039764,0.9465544879146671,1.0
CYP2W1,0.06667576730251312,0.11557909846305847,0.9468398288675547,1.0
OR13C3,0.06657148152589798,1.0030244588851929,0.9469228498104925,1.0
TPPP2,0.06652555614709854,0.34441953897476196,0.9469594142698908,1.0
SLC6A2,0.06652535498142242,0.5777000784873962,0.9469595707960702,1.0
HOXD10,0.0665191039443016,0.49637556076049805,0.9469645483296432,1.0
FCSK,0.0663333460688591,0.14129845798015594,0.9471124352392514,1.0
UGT1A4,0.06631309539079666,0.1444980651140213,0.9471285576523055,1.0
ASB11,0.06614884734153748,0.3615563213825226,0.9472593221785096,1.0
C2CD4D,0.06610807031393051,0.08482906222343445,0.947291786562945,1.0
UGT1A5,0.06584937125444412,0.8639454245567322,0.9474977511696382,1.0
CELF3,0.06574256718158722,0.6306809186935425,0.9475827802939415,1.0
FANCL,0.06557242572307587,0.1295240968465805,0.9477182458201566,1.0
DDX25,0.06553290039300919,0.5014409422874451,0.9477497096034562,1.0
TOE1,0.06521718204021454,0.22046343982219696,0.9480010784119074,1.0
CAPN11,0.06510936468839645,0.2819657623767853,0.9480869250680588,1.0
TMEM151A,0.06482981890439987,0.7430813312530518,0.9483094967558212,1.0
CDCP2,0.06476198881864548,0.11765462905168533,0.9483635044206481,1.0
AMPD2,0.06449747085571289,0.10612809658050537,0.9485741209233997,1.0
IRX4,0.0642738863825798,3.3104217052459717,0.9487521474269586,1.0
TEX55,0.06424502283334732,1.8935060501098633,0.9487751288752199,1.0
ODF3L2,0.06421997398138046,0.2239648401737213,0.9487950733001441,1.0
ANKRD30BL,0.06421608477830887,1.1946476697921753,0.9487981729860194,1.0
TAFA1,0.06419854611158371,0.20433147251605988,0.9488121372370457,1.0
TAC4,0.06415009498596191,0.4373159110546112,0.9488507112139437,1.0
RABEPK,0.06407833844423294,0.14891836047172546,0.9489078522685189,1.0
PPEF2,0.0640704333782196,0.7615090012550354,0.9489141456281327,1.0
ZNF648,0.06406594812870026,0.7799235582351685,0.9489177149976883,1.0
ZNF546,0.06391015648841858,0.025689776986837387,0.9490417668812732,1.0
RPRML,0.06368286907672882,0.3048117458820343,0.949222743322749,1.0
BAIAP2L2,0.06367956846952438,0.07372735440731049,0.9492253734495364,1.0
LDHC,0.06363863497972488,0.4423833191394806,0.949257968280981,1.0
GRHL3,0.06363151967525482,0.17624135315418243,0.9492636355946347,1.0
ZNF799,0.06330746412277222,0.07983828336000443,0.949521673291351,1.0
LY6G6D,0.06328591704368591,0.48452964425086975,0.9495388321564382,1.0
FOXI1,0.06327321380376816,0.6897870898246765,0.9495489458780257,1.0
TEX33,0.06327148526906967,0.6898800730705261,0.9495503235992426,1.0
RAPGEF1,0.06321030110120773,0.05666414648294449,0.9495990449283084,1.0
HTR4,0.06293684989213943,-0.05594523623585701,0.9498167902378215,1.0
DLX1,0.06254952400922775,1.1792677640914917,0.9501252222006932,1.0
BSND,0.06250446289777756,0.5021378993988037,0.9501611072583586,1.0
FGF1,0.06246010959148407,0.08921042084693909,0.9501964287750821,1.0
ESPN,0.062420785427093506,-0.011306862346827984,0.9502277422582651,1.0
FAM227B,0.062286775559186935,0.06597834080457687,0.9503344591859735,1.0
WNT1,0.06228603050112724,0.21499919891357422,0.9503350541478697,1.0
GSC,0.06224914640188217,0.3830393850803375,0.9503644265116851,1.0
NPB,0.062199756503105164,0.2439156323671341,0.9504037567760855,1.0
COX8C,0.06217541545629501,0.37916097044944763,0.950423140127594,1.0
CASKIN1,0.062065549194812775,0.21768000721931458,0.950510631743046,1.0
RAB3C,0.062017928808927536,0.13585509359836578,0.9505485533122292,1.0
TMEM210,0.06171078607439995,0.8186105489730835,0.9507931516862106,1.0
TTR,0.061658408492803574,0.7536543011665344,0.9508348632024518,1.0
DRD5,0.06165337562561035,0.5476322174072266,0.9508388715234211,1.0
GANAB,0.06164208799600601,0.13914000988006592,0.9508478589351153,1.0
GRIK3,0.06160846725106239,0.6611716747283936,0.9508746333171104,1.0
SCD5,0.061518263071775436,-0.009031493216753006,0.9509464703539584,1.0
BCL2L10,0.06136364862322807,0.2729625701904297,0.9510696025925062,1.0
EPO,0.061259642243385315,0.15191803872585297,0.951152432540621,1.0
TEKT5,0.061163224279880524,0.5523139834403992,0.9512292190357651,1.0
OR10W1,0.060965944081544876,2.187128782272339,0.9513863321288979,1.0
INTS3,0.06095398962497711,0.053749118000268936,0.9513958522973757,1.0
TEX43,0.060888949781656265,1.2173947095870972,0.9514476496513249,1.0
KIRREL3,0.060879748314619064,0.8751428723335266,0.9514549777095036,1.0
KLF14,0.0607735775411129,0.6313090920448303,0.9515395325237392,1.0
SLC6A7,0.06076783686876297,0.5633363723754883,0.9515441047625844,1.0
CLDN14,0.060764968395233154,0.7273567318916321,0.9515463908826053,1.0
CACNA1E,0.060725606977939606,0.5838552713394165,0.9515777389521468,1.0
CILP2,0.060611333698034286,0.15793679654598236,0.951668745860095,1.0
SPATA4,0.060220394283533096,0.0461706668138504,0.9519801032279264,1.0
SLC5A11,0.060053471475839615,1.0692100524902344,0.9521130477315939,1.0
CLEC1B,0.06002020463347435,0.7728537321090698,0.9521395428379952,1.0
OR2T11,0.059989336878061295,0.5981050133705139,0.9521641275880618,1.0
PCDH11Y,0.059964168816804886,0.8368041515350342,0.9521841712396394,1.0
FCN2,0.05981907248497009,0.33281755447387695,0.9522997360078194,1.0
MROH2A,0.059762682765722275,0.418890118598938,0.9523446468145288,1.0
UPK3A,0.059536974877119064,0.24411922693252563,0.95252441682951,1.0
USP17L1,0.059273671358823776,1.415683627128601,0.9527341306866078,1.0
ADAM11,0.0592576302587986,0.15038880705833435,0.9527469090562394,1.0
OR6C2,0.0592215321958065,1.167344570159912,0.9527756604323229,1.0
SEZ6,0.059210676699876785,0.6956019401550293,0.9527843046489163,1.0
UNC13C,0.059157513082027435,0.5854647755622864,0.9528266488626067,1.0
NPPC,0.059127077460289,0.5747950077056885,0.9528508903585017,1.0
C1QTNF4,0.05862831696867943,0.10005491971969604,0.9532481564202367,1.0
TMPRSS7,0.05855147913098335,0.18279947340488434,0.9533093572255094,1.0
KCTD4,0.05846410617232323,1.4153939485549927,0.9533789523345277,1.0
XAF1,0.05840583145618439,0.024907702580094337,0.9534253701521566,1.0
DPYS,0.058399226516485214,0.1300153285264969,0.9534306321009699,1.0
FAM133A,0.058353494852781296,0.685554027557373,0.9534670586237095,1.0
EXTL1,0.058241505175828934,0.08092133700847626,0.9535562617311781,1.0
C3orf22,0.05821484327316284,0.45030224323272705,0.953577497669091,1.0
DALRD3,0.0580061599612236,0.16873282194137573,0.9537437217011242,1.0
HOXD9,0.057999711483716965,0.16493260860443115,0.9537488584849088,1.0
NHLH1,0.05730598792433739,0.24915607273578644,0.9543014497798711,1.0
ZNF492,0.05725860595703125,0.21352727711200714,0.9543391941797935,1.0
PRSS16,0.057241108268499374,0.1510484665632248,0.9543531330089804,1.0
CLDN6,0.05721169337630272,0.214623361825943,0.9543765628027545,1.0
IQCJ,0.05720839276909828,0.19887851178646088,0.9543791939585288,1.0
IPO9,0.056822169572114944,0.10851386934518814,0.954686854664743,1.0
C12orf42,0.05680006742477417,0.20532111823558807,0.9547044587501672,1.0
TMEM211,0.056793857365846634,0.9191437363624573,0.9547094079454228,1.0
ATP11B,0.05679307132959366,0.05217995494604111,0.9547100344259595,1.0
GRM4,0.056771598756313324,1.1364034414291382,0.9547271373554174,1.0
ASPDH,0.05676499381661415,0.8063509464263916,0.9547323997994449,1.0
MASP2,0.05674167722463608,0.8063187599182129,0.954750974989674,1.0
TPH2,0.05662555620074272,0.6765972971916199,0.9548434754173666,1.0
C1orf141,0.05655422806739807,-0.15319056808948517,0.9549002978577992,1.0
HAPLN2,0.05644577741622925,0.43079856038093567,0.9549866909599151,1.0
AWAT2,0.05635781213641167,0.35219308733940125,0.955056764361252,1.0
NKX6-1,0.05630016699433327,0.32489341497421265,0.955102686590998,1.0
TMEM52B,0.056122902780771255,0.15323485434055328,0.9552438999468554,1.0
GJD2,0.05604563280940056,2.9463298320770264,0.9553054541232952,1.0
TBR1,0.056018345057964325,1.7446705102920532,0.9553271939317695,1.0
BPIFB6,0.056015435606241226,1.3777477741241455,0.9553295120112911,1.0
TREML4,0.05599341168999672,1.7322990894317627,0.9553470542469461,1.0
AQP2,0.0559098944067955,0.8183245062828064,0.955413589637278,1.0
TUBB1,0.05584792047739029,0.19076620042324066,0.9554629588471211,1.0
MESP2,0.05527991056442261,-0.09360035508871078,0.95591546566416,1.0
TBXT,0.05515506491065025,1.0658280849456787,0.9560149282277872,1.0
KCTD8,0.055096473544836044,0.5878333449363708,0.9560616053836336,1.0
ZCCHC12,0.054769039154052734,0.6863417625427246,0.9563224676677943,1.0
GOLGA2,0.05475110560655594,0.08490540087223053,0.9563367530441274,1.0
MT3,0.054717015475034714,0.2896610498428345,0.9563639140943858,1.0
FAM43B,0.0545499362051487,0.28252458572387695,0.9564970259020124,1.0
PPP1R14D,0.05444109067320824,0.3441188931465149,0.9565837418957568,1.0
